brand_name,category_name,quality_code,count_items_per_category,avg_erp,avg_listed_price,avg_sold_price
Alexander Wang,Sandals,Q1,4,570,230.49,176.41
Alexander Wang,Sandals,Q2,11,596.36,155.74,125.74
Alexander Wang,Sandals,Q3,6,505.83,85.41,60.07
Alexander Wang,Satchel,Q1,1,700,343.74,null
Alexander Wang,Satchel,Q2,1,845,194.74,null
Alexander Wang,Satchel,Q3,3,1181.67,288.41,99.74
Alexander Wang,Scarf,Q2,2,274,158.74,null
Alexander Wang,Short Sleeve T-Shirt,Q1,1,295,150.74,null
Alexander Wang,Short Sleeve T-Shirt,Q2,3,203.33,73.07,71.24
Alexander Wang,Short Sleeve T-Shirt,Q3,1,275,74.74,74.74
Alexander Wang,Short Sleeve Top,Q1,1,550,77.74,null
Alexander Wang,Shorts,Q2,1,325,87.74,null
Alexander Wang,Shoulder Bag,Q1,1,295,274.74,null
Alexander Wang,Silk Skirt,Q1,1,450,216.74,null
Alexander Wang,Sleeveless Blouse,Q1,2,229,null,null
Alexander Wang,Sleeveless Blouse,Q2,4,270,36.74,38.74
Alexander Wang,Sleeveless Silk Top,Q2,3,471.67,121.74,84.74
Alexander Wang,Sleeveless T-Shirt,Q2,1,165,34.74,36.74
Alexander Wang,Sleeveless Top,Q1,1,550,104.74,null
Alexander Wang,Sleeveless Top,Q2,4,523.75,122.99,63.74
Alexander Wang,Sneakers,Q1,2,520,157.74,157.74
Alexander Wang,Sneakers,Q2,1,99,55.74,55.74
Alexander Wang,Sneakers,Q3,1,395,63.74,null
Alexander Wang,Sports Bra,Q1,1,195,58.74,null
Alexander Wang,Sweater Vest,Q2,1,525,null,null
Alexander Wang,Sweater Vest,Q3,2,626.5,82.74,82.74
Alexander Wang,Sweatshirt,Q1,1,350,105.74,null
Alexander Wang,Sweatshirt,Q2,1,450,117.74,117.74
Alexander Wang,Swimsuit Bottoms,Q1,1,150,60.74,60.74
Alexander Wang,Swimsuit Cover Up,Q1,1,190,55.74,55.74
Alexander Wang,Swimsuit Top,Q1,2,150,60.74,60.74
Alexander Wang,Swimsuit Top,Q3,1,305,null,null
Alexander Wang,Tank Top,Q1,4,178.75,66.49,66.49
Alexander Wang,Tank Top,Q2,3,74.33,19.24,11.74
Alexander Wang,Tank Top,Q3,1,350,69.74,null
Alexander Wang,Track Jacket,Q2,1,550,132.74,null
Alexander Wang,Track Pants,Q2,2,995,184.74,184.74
Alexander Wang,Turtleneck Sweater,Q2,3,630,140.74,102.74
Alexander Wang,Turtleneck Sweater,Q3,2,622.5,106.74,null
Alexander Wang,Vest,Q2,2,537.5,139.24,71.74
Alexander Wang,Wedges,Q2,2,283.5,96.74,96.74
Alexander Wang,Wool Blazer,Q2,2,872.5,285.74,null
Alexander Wang,Wool Cardigan,Q1,2,438.5,148.74,148.74
Alexander Wang,Wool Cardigan,Q3,1,450,98.74,98.74
Alexander Wang,Wool Pants,Q2,2,700,84.74,123.74
Alexander Wang,Wool Pullover Sweater,Q1,2,496.5,255.74,null
Alexander Wang,Wool Pullover Sweater,Q2,2,555,211.07,null
Alexander Wang,Wristlet,Q3,1,395,78.74,78.74
Alexander Wang,Zip Up Hoodie,Q2,1,495,103.74,103.74
Alexander Wang Bodywear,3/4 Sleeve T-Shirt,Q1,1,51,10.74,10.74
Alexander Wang Bodywear,Athletic Shorts,Q1,1,51,12.74,12.74
Alexander Wang Bodywear,Cardigan,Q1,1,127,22.74,null
Alexander Wang Bodywear,Casual Dress,Q1,2,72.5,32.74,null
Alexander Wang Bodywear,Casual Dress,Q2,1,102,24.74,null
Alexander Wang Bodywear,Long Sleeve T-Shirt,Q2,1,153,32.74,32.74
Alexander Wang Bodywear,Short Sleeve Turtleneck,Q1,1,75,22.74,22.74
Alexander Wang Bodywear,Shorts,Q2,2,104,38.74,null
Alexander Wang Bodywear,Sports Bra,Q1,1,35,12.74,12.74
Alexander Wang Bodywear,Sports Bra,Q2,1,51,19.74,null
Alexander Wang for H&M,Cocktail Dress,Q2,2,102,29.74,27.74
Alexander Wang for H&M,Jeans,Q2,1,99,33.74,33.74
Alexander Wang for H&M,Satchel,Q2,1,127,49.74,49.74
Alexander Wang for H&M,Short Sleeve T-Shirt,Q1,1,51,10.74,13.74
Alexander Wang for H&M,Short Sleeve T-Shirt,Q2,1,76,17.74,null
Alexander Wang for H&M,Sports Bra,Q1,1,229,48.74,null
Alexander Wang for Uniqlo,Active Pants,Q2,1,102,21.74,21.74
Amina Muaddi,Boots,Q1,1,1130,839.74,839.74
Amina Muaddi,Boots,Q2,2,1400,562.24,0
Amina Muaddi,Boots,Q3,1,1205,277.74,null
Amina Muaddi,Heels,Q1,1,1190,357.74,357.74
Amina Muaddi,Heels,Q2,4,832.5,282.74,411.74
Amina Muaddi,Heels,Q3,1,1170,257.74,0
Amina Muaddi,Sandals,Q1,2,912.5,300.24,181.74
Amina Muaddi,Sandals,Q2,4,977,226.24,null
Amina Muaddi X Wolford,Casual Dress,Q2,1,580,121.74,121.74
Amina Muaddi X Wolford,Cocktail Dress,Q1,1,395,118.74,null
Amina Muaddi X Wolford,Cocktail Dress,Q2,1,500,125.74,null
Amina Muaddi X Wolford,Jumpsuit,Q2,1,915,347.74,null
Ancient Greek Sandals,Sandals,Q2,1,229,50.74,44.74
Anine Bing,Sweatshirt,Q2,1,200,50.74,50.74
Assorted Brands,Belt,Q1,1,38,15.74,14.74
Assorted Brands,Belt Bag,Q1,2,38,16.74,16.74
Assorted Brands,Boots,Q3,1,64,40.74,null
Assorted Brands,Cardigan,Q2,1,64,21.74,null
Assorted Brands,Casual Dress,Q1,2,51,19.24,15.74
Assorted Brands,Casual Dress,Q2,1,51,37.74,29.74
Assorted Brands,Casual Skirt,Q1,2,60.5,33.24,16.74
Assorted Brands,Crossbody Bag,Q1,1,148,29.74,29.74
Assorted Brands,Hat,Q2,1,38,15.74,15.74
Assorted Brands,Jacket,Q2,1,64,21.74,21.74
Assorted Brands,Leather Belt Bag,Q2,1,51,30.74,30.74
Assorted Brands,Satchel,Q1,1,64,24.74,null
Assorted Brands,Satchel,Q2,1,64,24.74,24.74
Assorted Brands,Scarf,Q1,1,25,10.74,null
Assorted Brands,Scarf,Q2,1,25,7.74,null
Assorted Brands,Short Sleeve T-Shirt,Q1,1,25,8.74,8.74
Assorted Brands,Shoulder Bag,Q2,1,64,23.74,21.74
Assorted Brands,Sleeveless Blouse,Q2,1,350,69.74,null
