item_number,brand_name,category,quality_code,estimated_erp,listed_price,sold_price
212398633,Alexander McQueen,Boots,Q2,1160.0,409.74,409.74
215485528,Alexander McQueen,Cardigan,Q1,1195.0,250.74,250.74
210041540,Alexander McQueen,Cardigan,Q2,1990.0,437.74,437.74
205929370,Alexander McQueen,Cashmere Pullover Sweater,Q1,1090.0,305.74,305.74
209422344,Alexander McQueen,Cashmere Pullover Sweater,Q2,1090.0,108.74,108.74
213597403,Alexander McQueen,Casual Dress,Q1,650.0,500.74,500.74
210825980,Alexander McQueen,Casual Dress,Q1,2085.0,499.74,429.74
217835998,Alexander McQueen,Casual Dress,Q1,580.0,179.74,179.74
216146258,Alexander McQueen,Casual Dress,Q1,1790.0,286.74,286.74
213597604,Alexander McQueen,Casual Dress,Q1,2000.0,684.74,684.74
214817614,Alexander McQueen,Casual Dress,Q1,1590.0,397.74,397.74
206746218,Alexander McQueen,Casual Dress,Q1,1500.0,329.74,329.74
213625704,Alexander McQueen,Casual Dress,Q1,2300.0,604.74,604.74
210814191,Alexander McQueen,Casual Dress,Q2,375.0,326.74,326.74
218565522,Alexander McQueen,Casual Dress,Q2,1590.0,397.74,397.74
212982894,Alexander McQueen,Casual Dress,Q2,890.0,222.74,222.74
207757124,Alexander McQueen,Casual Dress,Q2,890.0,284.74,284.74
209357179,Alexander McQueen,Casual Dress,Q2,1489.0,431.74,431.74
216515025,Alexander McQueen,Casual Dress,Q3,1533.0,229.74,229.74
205968643,Alexander McQueen,Casual Dress,Q3,306.0,82.74,82.74
213589508,Alexander McQueen,Casual Dress,Q3,850.0,604.74,499.74
206112876,Alexander McQueen,Casual Dress,Q3,1890.0,75.74,75.74
209346986,Alexander McQueen,Casual Pants,Q2,750.0,195.74,195.74
208262537,Alexander McQueen,Casual Pants,Q2,1050.0,168.74,168.74
212728144,Alexander McQueen,Casual Skirt,Q1,600.0,156.74,156.74
210161826,Alexander McQueen,Casual Skirt,Q1,1075.0,258.74,0.0
213590168,Alexander McQueen,Casual Skirt,Q2,470.0,126.74,50.74
215257915,Alexander McQueen,Casual Skirt,Q2,1095.0,218.74,218.74
211036765,Alexander McQueen,Clutch,Q1,540.0,242.74,242.74
211041037,Alexander McQueen,Coat,Q1,3100.0,403.74,403.74
213590247,Alexander McQueen,Coat,Q2,1600.0,529.74,529.74
211540076,Alexander McQueen,Cocktail Dress,Q1,1900.0,369.74,0.0
213650984,Alexander McQueen,Cocktail Dress,Q1,2500.0,549.74,549.74
210846368,Alexander McQueen,Cocktail Dress,Q1,2500.0,325.74,325.74
208634542,Alexander McQueen,Cocktail Dress,Q1,2200.0,399.74,399.74
213590098,Alexander McQueen,Cocktail Dress,Q1,3300.0,729.74,729.74
213353047,Alexander McQueen,Cocktail Dress,Q1,580.0,179.74,179.74
208026757,Alexander McQueen,Cocktail Dress,Q1,2500.0,574.74,574.74
214183895,Alexander McQueen,Cocktail Dress,Q1,1680.0,420.74,90.74
210945422,Alexander McQueen,Cocktail Dress,Q1,2000.0,399.74,399.74
213626730,Alexander McQueen,Cocktail Dress,Q1,2000.0,604.74,604.74
213283023,Alexander McQueen,Cocktail Dress,Q1,1724.0,724.74,463.74
216576916,Alexander McQueen,Cocktail Dress,Q1,1685.0,320.74,320.74
216075523,Alexander McQueen,Cocktail Dress,Q1,3700.0,1294.74,899.74
213625853,Alexander McQueen,Cocktail Dress,Q1,1500.0,500.74,340.74
209006668,Alexander McQueen,Cocktail Dress,Q1,1900.0,369.74,369.74
209306416,Alexander McQueen,Cocktail Dress,Q1,690.0,179.74,179.74
207296515,Alexander McQueen,Cocktail Dress,Q1,2651.0,639.74,0.0
210592976,Alexander McQueen,Cocktail Dress,Q1,2700.0,399.74,399.74
213651694,Alexander McQueen,Cocktail Dress,Q1,1600.0,644.74,599.74
214437764,Alexander McQueen,Cocktail Dress,Q1,306.0,94.74,94.74
208706349,Alexander McQueen,Cocktail Dress,Q1,1190.0,379.74,0.0
207757191,Alexander McQueen,Cocktail Dress,Q2,1130.0,237.74,0.0
216059593,Alexander McQueen,Cocktail Dress,Q2,850.0,110.74,110.74
213652787,Alexander McQueen,Cocktail Dress,Q2,2400.0,649.74,649.74
211112574,Alexander McQueen,Cocktail Dress,Q2,1740.0,191.74,191.74
206009629,Alexander McQueen,Cocktail Dress,Q2,1390.0,361.74,361.74
205923107,Alexander McQueen,Cocktail Dress,Q2,2890.0,784.74,784.74
214770877,Alexander McQueen,Cocktail Dress,Q2,1390.0,361.74,361.74
