,Name,Average Price At Listing,COUNT of items,SELL THRU % items sold in 7 listing days,SELL THRU % items sold in 14 listing days,SELL THRU % items sold in 30 listing Days,SELL THRU % items sold in 3 listing months,SELL THRU % items sold in 6 listing months,SELL THRU % items sold in 9 listing months,SELL THRU % items sold in 12 listing months
451,B-Low The Belt,$36.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
452,Acsense,$22.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
453,Jimmy Choo x Timberland,"$1,284.74",1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
454,Donald J Pliner,$49.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
455,Hutch,$79.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
456,V.Fraas,$7.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
457,Stuart Weitzman,$68.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
458,Fender,$13.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
459,Daisy Rose,$22.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
460,Athlefit,$11.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
461,H20Fagerholt,$64.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
462,Danskin,$7.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
463,Nike x Serena Williams,$86.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
464,Apollo,$14.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
465,FP Movement,$17.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
466,Ralph Lauren,$17.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
467,Maison de Papillon,$40.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
468,Joseph Ribkoff,$65.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
469,Tahari,$27.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
470,Tribal,$14.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
471,Jimmy Choo X Hunter,$132.74,1,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
472,Essentials by Milano,$11.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
473,g.p.d.,$8.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
474,Travis Scott Astroworld,$84.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
475,Avanti,$69.74,1,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
476,OFFLINE by Aerie,$10.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
477,Stussy x MadeMe,$51.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
478,Crocs,$23.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
479,STAUD,$74.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
480,Tazio,$30.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
481,Valentino Di Paolo,$51.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
482,Chloe K,$10.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
483,Sorel,$56.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
484,Well Worn,$10.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
485,Valentino Rossa,$72.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
486,Baleaf Sports,$13.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
487,Gymboree,$5.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
488,t.la,$322.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
489,Supreme X Champion,$140.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
