item_number,brand_name,category,quality_code,estimated_erp,listed_price,sold_price
207136979,Acne Studios,Casual Skirt,Q1,620.0,117.74,117.74
214558100,Acne Studios,Casual Skirt,Q1,450.0,135.74,135.74
206419996,Acne Studios,Casual Skirt,Q1,440.0,140.74,140.74
211598648,Acne Studios,Coat,Q1,3300.0,894.74,894.74
213504536,Acne Studios,Cocktail Dress,Q1,800.0,240.74,240.74
207559527,Acne Studios,Cocktail Dress,Q2,180.0,45.74,45.74
207549030,Acne Studios,Cocktail Dress,Q2,680.0,149.74,149.74
212284300,Acne Studios,Crossbody Bag,Q2,510.0,112.74,112.74
211729646,Acne Studios,Denim Jacket,Q2,900.0,387.74,387.74
207136938,Acne Studios,Denim Skirt,Q1,470.0,267.74,267.74
207830831,Acne Studios,Denim Skirt,Q2,600.0,366.74,348.74
210516507,Acne Studios,Dress Pants,Q2,300.0,98.74,98.74
208107693,Acne Studios,Ear Muffs,Q1,110.0,38.74,40.74
213702588,Acne Studios,Fleece,Q2,570.0,148.74,139.74
206390114,Acne Studios,Formal Skirt,Q1,300.0,126.74,113.74
206188403,Acne Studios,Formal Skirt,Q2,540.0,172.74,0.0
208771806,Acne Studios,Formal Skirt,Q2,420.0,126.74,126.74
209035437,Acne Studios,Hat,Q3,150.0,70.74,0.0
210412548,Acne Studios,Heels,Q2,800.0,175.74,175.74
205818412,Acne Studios,Heels,Q3,685.0,102.74,27.74
208678544,Acne Studios,Jacket,Q1,450.0,139.74,132.74
214025939,Acne Studios,Jacket,Q2,470.0,282.74,0.0
206135391,Acne Studios,Jeans,Q1,320.0,118.74,118.74
214823182,Acne Studios,Jeans,Q1,470.0,265.74,265.74
209431160,Acne Studios,Jeans,Q1,380.0,91.74,91.74
207633849,Acne Studios,Jeans,Q1,500.0,90.74,90.74
213204425,Acne Studios,Jeans,Q1,390.0,191.74,191.74
207558060,Acne Studios,Jeans,Q1,465.0,148.74,0.0
210675956,Acne Studios,Jeans,Q1,950.0,299.74,299.74
211546813,Acne Studios,Jeans,Q1,260.0,80.74,80.74
209434629,Acne Studios,Jeans,Q1,250.0,75.74,75.74
209001591,Acne Studios,Jeans,Q2,327.0,71.74,71.74
206973981,Acne Studios,Jeans,Q2,420.0,96.74,45.74
212661162,Acne Studios,Jeans,Q2,261.0,65.74,65.74
216171560,Acne Studios,Jeans,Q2,580.0,149.74,105.74
210238479,Acne Studios,Jeans,Q2,374.0,78.74,3.74
209316224,Acne Studios,Jeans,Q2,150.0,100.74,0.0
214127728,Acne Studios,Jeans,Q2,510.0,101.74,101.74
209695551,Acne Studios,Jeans,Q2,260.0,70.74,70.74
206920766,Acne Studios,Jeans,Q2,520.0,114.74,114.74
209150847,Acne Studios,Jeans,Q2,540.0,221.74,125.74
207558573,Acne Studios,Jeans,Q2,420.0,94.74,0.0
206813424,Acne Studios,Jeans,Q2,390.0,74.74,0.0
211216610,Acne Studios,Jeans,Q2,620.0,123.74,123.74
210807123,Acne Studios,Jeans,Q2,540.0,113.74,113.74
210574722,Acne Studios,Jeans,Q2,374.0,86.74,86.74
208982633,Acne Studios,Jeans,Q2,540.0,81.74,81.74
206018634,Acne Studios,Jeans,Q2,480.0,81.74,81.74
209015717,Acne Studios,Jeans,Q2,300.0,48.74,41.74
208708203,Acne Studios,Jeans,Q2,390.0,85.74,75.74
210890774,Acne Studios,Jeans,Q2,270.0,67.74,47.74
207861517,Acne Studios,Jeans,Q2,263.0,60.74,60.74
210310502,Acne Studios,Jeans,Q2,310.0,65.74,65.74
212986384,Acne Studios,Jeans,Q2,620.0,105.74,105.74
207446711,Acne Studios,Jeans,Q2,320.0,63.74,59.74
209632177,Acne Studios,Jeans,Q2,540.0,97.74,97.74
210629965,Acne Studios,Jeans,Q3,374.0,67.74,64.74
209037933,Acne Studios,Jeans,Q3,306.0,48.74,48.74
213078302,Acne Studios,Jeans,Q3,200.0,84.74,85.74
213164276,Acne Studios,Jeans,Q3,300.0,54.74,54.74
213573754,Acne Studios,Leather Jacket,Q2,1400.0,321.74,321.74
209564504,Acne Studios,Leather Jacket,Q2,1550.0,387.74,387.74
210510373,Acne Studios,Leather Wallet,Q2,395.0,118.74,118.74
216180496,Acne Studios,Long Sleeve Blouse,Q1,210.0,136.74,136.74
209830693,Acne Studios,Long Sleeve Blouse,Q1,670.0,187.74,187.74
209110584,Acne Studios,Long Sleeve Blouse,Q2,500.0,185.74,185.74
214220855,Acne Studios,Long Sleeve Blouse,Q2,700.0,84.74,84.74
206302171,Acne Studios,Long Sleeve Blouse,Q3,486.0,82.74,82.74
211603264,Acne Studios,Long Sleeve Button-Down Shirt,Q1,400.0,124.74,124.74
206617615,Acne Studios,Long Sleeve Polo,Q2,380.0,212.74,212.74
210350646,Acne Studios,Long Sleeve Silk Top,Q2,550.0,175.74,175.74
209692321,Acne Studios,Long Sleeve Top,Q3,450.0,72.74,0.0
209624857,Acne Studios,Long Sleeve Turtleneck,Q2,330.0,65.74,65.74
208487597,Acne Studios,Long Sleeve Turtleneck,Q2,180.0,54.74,54.74
213789525,Acne Studios,Long Sleeve Turtleneck,Q2,380.0,129.74,129.74
206456300,Acne Studios,Mule/Clog,Q3,580.0,156.74,156.74
213821183,Acne Studios,Poncho,Q3,400.0,68.74,68.74
215126725,Acne Studios,Pullover Hoodie,Q1,580.0,104.74,104.74
212625782,Acne Studios,Pullover Hoodie,Q1,580.0,133.74,133.74
207214561,Acne Studios,Pullover Hoodie,Q2,470.0,141.74,141.74
207213802,Acne Studios,Pullover Hoodie,Q2,350.0,118.74,118.74
211068285,Acne Studios,Pullover Hoodie,Q2,580.0,237.74,199.74
207214321,Acne Studios,Pullover Hoodie,Q2,350.0,105.74,105.74
207238732,Acne Studios,Pullover Hoodie,Q3,620.0,117.74,117.74
209767196,Acne Studios,Pullover Sweater,Q1,410.0,81.74,81.74
206501912,Acne Studios,Pullover Sweater,Q1,280.0,156.74,156.74
208483364,Acne Studios,Pullover Sweater,Q2,300.0,137.74,137.74
205849362,Acne Studios,Pullover Sweater,Q2,258.0,136.74,136.74
208415039,Acne Studios,Pullover Sweater,Q2,380.0,197.74,99.74
