,name,category,average_listing_price,total_items,sell_seven_days,sell_fourteen,sell_30,sell_3months,sell_6months,sell-9months,sell_12months
485,Longchamp,Leather Wallet,$89.52,51,41.20%,56.90%,74.50%,92.20%,98.00%,98.00%,98.00%
486,Burberry,Blazer,$229.01,51,19.60%,29.40%,43.10%,80.40%,86.30%,86.30%,86.30%
487,Dolce & Gabbana,Jeans,$184.58,50,18.00%,38.00%,46.00%,74.00%,78.00%,78.00%,78.00%
488,Givenchy,Sneakers,$188.62,50,2.00%,8.00%,20.00%,50.00%,62.00%,64.00%,64.00%
489,Longchamp,Makeup Bag,$56.92,50,72.00%,86.00%,90.00%,94.00%,94.00%,94.00%,94.00%
490,Louis Vuitton,Weekender,$805.20,50,16.00%,22.00%,52.00%,88.00%,88.00%,88.00%,88.00%
491,Prada Linea Rossa,Sunglasses,$149.76,50,46.00%,58.00%,66.00%,78.00%,86.00%,86.00%,86.00%
492,Balenciaga,Leather Satchel,$601.72,50,44.00%,52.00%,68.00%,86.00%,90.00%,90.00%,90.00%
493,Brunello Cucinelli,Wool Pants,$216.94,50,6.00%,10.00%,22.00%,56.00%,74.00%,78.00%,78.00%
494,Bottega Veneta,Flats,$216.84,49,6.10%,12.20%,30.60%,67.30%,77.60%,77.60%,77.60%
495,Burberry,Leather Wallet,$198.72,49,20.40%,32.70%,42.90%,75.50%,81.60%,81.60%,81.60%
496,Dolce & Gabbana,Sandals,$218.84,49,22.40%,30.60%,44.90%,69.40%,81.60%,81.60%,81.60%
497,Christian Louboutin,Sneakers,$329.84,49,6.10%,20.40%,38.80%,67.30%,87.80%,87.80%,87.80%
498,HERVE by Herve Leger,Cocktail Dress,$94.34,49,2.00%,2.00%,8.20%,59.20%,69.40%,81.60%,81.60%
499,McQ Alexander McQueen,Casual Dress,$164.05,49,28.60%,36.70%,49.00%,75.50%,91.80%,91.80%,91.80%
500,Dooney & Bourke,Wristlet,$18.54,49,73.50%,93.90%,98.00%,98.00%,98.00%,98.00%,98.00%
