,name,category,average_listing_price,total_items,sell_seven_days,sell_fourteen,sell_30,sell_3months,sell_6months,sell-9months,sell_12months
347,Acne Studios,Sweatshirt,$115.98,70,15.70%,30.00%,48.60%,64.30%,77.10%,77.10%,77.10%
348,Zimmermann,Swimsuit Bottoms,$68.27,70,17.10%,32.90%,47.10%,77.10%,88.60%,88.60%,88.60%
349,Gucci,Wedges,$248.08,70,15.70%,25.70%,35.70%,62.90%,77.10%,77.10%,77.10%
350,Fjällräven,Jacket,$88.52,70,68.60%,77.10%,85.70%,92.90%,92.90%,92.90%,92.90%
351,Prada,Leather Satchel,$548.78,70,20.00%,25.70%,42.90%,85.70%,88.60%,88.60%,88.60%
352,M Missoni,Casual Skirt,$118.93,70,21.40%,37.10%,57.10%,84.30%,94.30%,97.10%,97.10%
353,Saint Laurent,Ankle Boots,$307.83,70,1.40%,12.90%,27.10%,60.00%,81.40%,81.40%,81.40%
354,Loro Piana,Cashmere Pullover Sweater,$302.43,70,24.30%,35.70%,42.90%,81.40%,88.60%,88.60%,88.60%
355,MCM,Tote,$292.55,69,23.20%,34.80%,49.30%,76.80%,89.90%,89.90%,89.90%
356,Longchamp,Sunglasses,$87.25,69,30.40%,49.30%,66.70%,91.30%,94.20%,94.20%,94.20%
357,Fendi,Casual Dress,$385.71,69,4.30%,8.70%,17.40%,58.00%,72.50%,72.50%,72.50%
358,Jimmy Choo,Mule/Clog,$229.83,69,17.40%,37.70%,55.10%,72.50%,85.50%,87.00%,87.00%
359,Balenciaga,Sneakers,$308.81,69,5.80%,13.00%,21.70%,59.40%,72.50%,72.50%,72.50%
360,Tumi,Crossbody Bag,$92.88,68,44.10%,66.20%,88.20%,100.00%,100.00%,100.00%,100.00%
361,Coach Factory,Tote,$72.40,68,75.00%,83.80%,86.80%,91.20%,91.20%,91.20%,91.20%
362,Céline,Leather Satchel,$498.66,68,4.40%,14.70%,19.10%,63.20%,77.90%,77.90%,77.90%
363,Tod's,Leather Satchel,$307.33,68,22.10%,27.90%,52.90%,88.20%,92.60%,92.60%,92.60%
364,Prada Linea Rossa,Sandals,$132.84,68,32.40%,48.50%,66.20%,88.20%,89.70%,89.70%,89.70%
365,Moncler,Coat,$527.46,68,48.50%,61.80%,69.10%,83.80%,86.80%,86.80%,86.80%
366,Gianvito Rossi,Heels,$199.62,68,5.90%,8.80%,27.90%,69.10%,92.60%,94.10%,94.10%
367,Valentino Garavani,Sneakers,$224.05,68,13.20%,20.60%,35.30%,67.60%,77.90%,77.90%,77.90%
368,Tory Burch,Leather Tote,$141.13,68,63.20%,76.50%,86.80%,88.20%,88.20%,88.20%,88.20%
369,Acne Studios,Pullover Sweater,$147.71,68,23.50%,35.30%,50.00%,70.60%,82.40%,82.40%,82.40%
370,Rouje Paris,Cocktail Dress,$110.50,67,49.30%,67.20%,82.10%,92.50%,94.00%,94.00%,94.00%
371,MCM,Leather Satchel,$299.86,67,11.90%,20.90%,28.40%,70.10%,80.60%,80.60%,80.60%
372,Moschino Cheap And Chic,Casual Skirt,$93.90,67,13.40%,17.90%,34.30%,61.20%,71.60%,73.10%,73.10%
373,Prada,Crossbody Bag,$340.53,67,19.40%,26.90%,50.70%,82.10%,89.60%,89.60%,89.60%
374,Salvatore Ferragamo,Leather Belt,$158.04,67,34.30%,55.20%,73.10%,91.00%,91.00%,91.00%,91.00%
375,Coach Factory,Wallet,$30.86,67,79.10%,95.50%,98.50%,98.50%,98.50%,98.50%,98.50%
376,Dolce & Gabbana,Dress Pants,$169.64,67,7.50%,10.40%,19.40%,64.20%,77.60%,79.10%,79.10%
